FAF79E9F-4D40-4F02-8AC9-4B5512708F7F,BiosGuardPolicyOverride
C776AEA2-AA27-446E-975B-E0BEA9078BD9,BiosGuardPeiApRecoveryCapsule
960241A5-5CE6-4EBF-B9C4-E37D294BEBA9,FspWrapperPeim
F7FDE4A6-294C-493C-B50F-9734553BB757,CapsuleX64
52B3DBA7-9565-48E8-8E13-EC7196721B3C,PlatformInfoPei
A8F14FA9-FC88-45F4-A622-F06E6C56E632,FirmwareBootMediaInfoPei
80A845AC-210F-43B0-995B-477BE41AB4E8,SiInitFsp
131B73AC-C033-4DE1-8794-6DAB08E731CF,FspInit
89E549B0-7CFE-449D-9BA3-10D8B2312D71,S3Resume2Pei
95C894B4-DAEC-46E1-8600-3C4C7FC985D6,BiosGuardRecovery
961C19BE-D1AC-4BA7-87AF-4AE0F09DF2A6,TrEEPei
1C652EC8-2347-44C1-93E0-D1BEE8C82FFC,SaInitDxeFsp
8A93DBCA-E866-4B9E-BC86-879924ADA586,OverVoltagePei
C7D4BBCF-EB0A-4C91-BD8B-FCA99F28B011,AmiTxtPei
9B3F28D5-10A6-46C8-BA72-BD40B847A71A,AmiTcgPlatformPeiAfterMem
E60A79D5-DC9B-47F1-87D3-51BF697B6121,CpuPei
D9117BD7-0807-4F38-B773-AD86A791EAFC,SiInitPreMemFsp
2C5C58D8-6C8F-4037-9590-25459BC58A08,AcPowerLossPei
C779F6D8-7113-4AA1-9648-EB1633C7D53B,CapsulePei
8ED25ADD-7C2D-4326-9186-85CCF74C79F6,TcgStorageSecurityPei
9F7F09DF-B2C4-4F4F-8AA8-447BF4A63F72,OEM Logo - Predator 16:9
B41956E1-7CA2-42DB-9562-168389F0F066,BootGuardPei
183BB3E1-A1E5-4445-8AC9-0E83B6547E0E,CpuFeaturesPei
8B555AE2-4254-43A2-839E-4869604CCC9A,FspEndOfPei2Peim
C92652E3-C7DE-4C78-9577-1C897C51BFFA,HeciInitDxeFsp
75862FE4-4FC6-4188-804B-29DC7733178B,StallServicePei
00026AEB-F334-4C15-A7F0-E1E897E9FE91,NvmeRecovery
EEE8D8EC-40C2-159B-71C7-8796EEEF3FBC,HeciInit
BAEB5BEE-5B33-480A-8AB7-B29C85E7CEAB,FspGlobalDataInitPei
86EE84F0-3375-41A1-AFBA-847BD29663AA,OEM Logo - Predator 21:9
D9DDCFF2-215A-480A-AA63-1DF1F5EDBC01,HddSecurityPei
03417BF3-6D95-41DF-88EF-0DDA6E86DC34,AsfPei
ADF01BF6-47D6-495D-B95B-687777807214,FirmwarePerformancePei
A6AEF1F6-F25A-4082-AF39-2229BCF5A6E1,AmtStatusCodePei
0D1ED2F7-E92B-4562-92DD-5C82EC917EAE,CrbPei
0D244DF9-6CE3-4133-A1CF-53200AB663AC,FspsWrapperPeim
90BF2BFB-F998-4CBC-AD72-008D4D047A4B,PeiPciePhyFwLoadingInit
BA0ECDFD-A429-49B9-A961-11EEFF784C7F,OemPei
0D8039FF-49E9-4CC9-A806-BB7C31B0BCB0,AmiTpm20PlatformPei
9FAAD0FF-0E0C-4885-A738-BAB4E4FA1E66,FspmWrapperPeim
